,Ticker,MarketCap,AvgVol,Turnover
540,0611.HK,1.333B,1144360,1058323.85062
541,0612.HK,191.2M,258561,59460.8302199
542,0613.HK,670.0M,50187700,1224837.30735
543,0616.HK,138.8M,1829640,517339.801054
544,0617.HK,2.899B,253994,617862.66242
545,0618.HK,1.679B,450687,1121634.52237
546,0619.HK,824.6M,27959600,1815779.64415
547,0620.HK,269.5M,330191,763210.067934
548,0621.HK,1.279B,14693500,630798.228922
549,0622.HK,1.632B,37971800,7411593.87752
550,0623.HK,3.220B,1803440,15738598.423
552,0626.HK,4.085B,60746,637659.880098
553,0627.HK,661.0M,653782,1721265.03334
554,0628.HK,529.8M,1270010,878234.465729
555,0629.HK,329.8M,124231,134910.692498
556,0630.HK,345.0M,5621820,707067.82607
557,0631.HK,5.200B,1860010,6926928.55766
558,0632.HK,648.4M,2577960,708966.840275
559,0633.HK,4.666B,7000740,20232455.7489
560,0635.HK,2.244B,179974,2646268.07088
561,0637.HK,563.7M,491463,893057.03242
562,0638.HK,389.7M,50508,114603.420189
563,0639.HK,8.536B,17867300,31524433.9976
564,0640.HK,531.0M,585866,311665.395833
565,0641.HK,1.262B,69240,130403.947418
566,0642.HK,25.6M,20000,9613.49918875
567,0643.HK,409.5M,688776,793536.226322
568,0645.HK,450.1M,4427250,1538852.42885
569,0646.HK,532.5M,21213500,1049691.33875
570,0647.HK,925.7M,443358,1445285.12257
571,0648.HK,19.0M,69877200,1000241.22458
572,0650.HK,222.1M,20598,21195.1640625
573,0651.HK,2.485B,73613696,4491014.40378
574,0653.HK,4.230B,5301820,8940694.12066
575,0655.HK,3.536B,663580,876310.685747
576,0656.HK,71.297B,6354910,50201810.3236
577,0657.HK,407.2M,134030,22818.9289096
578,0658.HK,8.649B,4240870,28731192.8341
579,0659.HK,54.334B,1111590,13793618.0798
580,0660.HK,718.0M,603832,131485.861125
581,0661.HK,2.270B,4146650,892902.046615
582,0662.HK,3.312B,48239,229336.93831
583,0663.HK,753.0M,1085310,1116259.64622
584,0665.HK,8.460B,2989630,-
585,0666.HK,970.4M,697373,177365.941289
587,0668.HK,904.5M,224571,231203.788123
588,0669.HK,44.493B,6803070,100794854.794
589,0670.HK,10.105B,2923540,18393623.0296
590,0672.HK,3.623B,4100780,7618497.00194
591,0673.HK,164.1M,2156080,666539.012689
592,0674.HK,335.4M,719334,179978.911007
593,0675.HK,189.6M,50836,37325.0267361
594,0676.HK,774.9M,7657,3436.11852413
595,0677.HK,725.4M,248407,205507.4789
596,0678.HK,23.540B,16021,129735.717448
597,0679.HK,191.7M,155672,85601.2652083
598,0680.HK,3.364B,27329300,1468462.83248
599,0681.HK,1.174B,4835690,1347342.30144
601,0683.HK,38.988B,1754030,45543013.425
602,0684.HK,760.5M,34955,75654.6344588
603,0685.HK,3.543B,16292,24807.3671528
605,0687.HK,2.686B,330430,2224016.17033
606,0688.HK,154.5B,25636800,468079526.957
607,0689.HK,1.019B,28090600,4449158.36604
608,0690.HK,1.159B,15805000,10434426.1738
609,0691.HK,7.857B,7835330,39329486.8591
610,0692.HK,1.342B,89511504,29666754.239
611,0693.HK,6.703B,33760,151313.646545
612,0694.HK,9.921B,3222400,24817143.2553
613,0695.HK,665.6M,146925,170102.397686
614,0696.HK,6.466B,3111620,17403720.4361
615,0697.HK,3.135B,6990380,4646070.96
616,0698.HK,5.684B,67747504,44912521.6982
617,0700.HK,1.106T,24803300,9717438235.57
618,0701.HK,717.4M,535950,551836.400441
619,0702.HK,3.673B,31686000,14516432.063
620,0703.HK,2.540B,1977670,10254751.9214
621,0704.HK,294.0M,2108660,238314.312187
622,0705.HK,225.1M,1055050,362559.522633
623,0706.HK,1.738B,16471300,2965514.46421
624,0707.HK,307.6M,3770270,987916.15976
625,0708.HK,229.0M,139552,109838.533854
