,Ticker,MarketCap,AvgVol,Turnover
804,JPR.L,24.3M,5910503,48056167.2315
811,JUP.L,1.745B,664172,317800035.376
813,KAKU.L,7.8M,11,44536.6467674
814,KAZ.L,1.360B,1215633,440103832.335
818,KCOM.L,454.6M,443072,75839077.6841
825,KENZ.L,1.095B,417325,317432276.557
826,KFX.L,448.7M,22561,-
827,KGF.L,8.506B,4926851,2073727227.32
830,KGP.L,2.064B,29951,72181818.0054
832,KIE.L,936.1M,38440,138660181.285
835,KLR.L,640.7M,73362,127951856.18
837,KMR.L,417.3M,2842835,109416051.957
838,KNM.L,334.8B,17303,-
839,KSK.L,177.6M,3329,12267134.2022
841,KYGA.L,9.621B,60203,309657795.399
843,LAD.L,1.270B,3098861,745905690.455
844,LAM.L,399.6M,279389,61624692.3837
845,LAS.L,35.4M,1000,1639154.43329
857,LFI.L,9.5M,4956,135215.04613
858,LGEN.L,13.222B,8904078,2713938801.42
862,LIO.L,96.7M,91483,35042469.3507
864,LLOY.L,54.092B,91122592,10294592295.7
865,LMI.L,1.370B,1837258,442817311.284
871,LOOK.L,477.6M,254757,89465989.9614
874,LRD.L,771.8M,223079,111110506.69
875,LRE.L,1.189B,355553,354698021.495
879,LSE.L,5.366B,337865,601909713.321
882,LSL.L,386.2M,34921,74497626.4658
883,LTC.L,121.6M,1309,12801907.2268
886,LVD.L,342.8M,33524,44814297.667
887,LWB.L,250.2M,98934,22288865.5972
890,MAB.L,1.632B,281871,125966124.454
893,MACF.L,45.8M,16005,4028747.16629
894,MAE.L,7.6M,21860,745115.026698
899,MAR.L,130.1M,85769,4518903.84563
901,MARS.L,818.4M,660926,144840856.542
904,MAW.L,51.163B,0,-
906,MBC.L,2.976T,235778,-
910,MCB.L,173.1M,101807,16820524.4694
911,MCGN.L,91.9M,10079,9404025.21558
915,MCRO.L,1.180B,90596,119624666.292
917,MDO.L,1.695B,1164,567371.342918
920,MEC.L,137.3M,72480,43808476.6254
924,MEL.L,2.499T,0,-
925,MEN.L,2.8M,809435,1185152.45819
926,MER.L,467.6M,38023,56758266.2781
932,MGGT.L,4.061B,1314314,810640746.675
933,MGNS.L,357.9M,10748,44171230.7364
935,MHM.L,26.057B,60,575439.666953
944,MKS.L,6.944B,3495705,1877185404.36
945,MLC.L,1.891B,71286,44741072.6399
948,MMC.L,124.3M,76155,4997040.50341
951,MMP.L,2.4M,18835,319828.024509
953,MNDI.L,5.229B,1033006,1465164907.51
954,MNZS.L,390.6M,17480,56463905.2014
961,MONY.L,977.1M,428395,198589092.277
964,MOSB.L,109.5M,236168,17379890.9598
966,MPI.L,1.381B,494761,288777154.002
968,MRO.L,2.754B,2597746,569727220.93
969,MRW.L,4.237B,9840516,2338562212.19
973,MSLH.L,326.1M,65925,25395521.4625
976,MTC.L,210.8M,141333,50458180.2461
979,MTO.L,1.147B,996142,247474806.066
981,MTVW.L,336.3M,4216,6213770.59624
1003,NBP.L,14.6M,1547,104145.87817
1004,NBPO.L,709.6M,11509,32905224.7568
1007,NCC.L,386.6M,36927,43886786.735
1016,NEX.L,1.270B,301749,112403577.94
1019,NHY.L,68.959B,178632,268518774.5
1022,NMC.L,887.5M,46832,27985042.1405
1023,NMD.L,11.7M,4791,565538.002961
1034,NTG.L,688.8M,102870,151348361.914
1039,NVA.L,329.0M,15181,35611739.4916
1040,NWF.L,75.5M,1145,4343389.0093
1042,NWR.L,71.5M,83718,7460265.00057
1045,NXR.L,111.0M,140945,37526266.998
1046,NXT.L,9.623B,294095,1897553643.28
1049,OCDO.L,2.113B,1827672,625048987.997
1050,OCN.L,432.8M,2600,11813134.2037
1053,OFF.L,10.1M,98356,3695459.82052
1058,OML.L,8.674B,5752105,1657914885.79
1063,OPHR.L,1.369B,773667,351155890.914
1066,OPTS.L,132.2M,8564,9056466.90086
1076,OXB.L,39.4M,366470,3446407.34826
1077,OXIG.L,750.5M,41568,109017058.072
1082,PAF.L,265.1M,445287,11197069.4284
1083,PAG.L,1.089B,486015,220392662.759
1089,PAP.L,2.297B,8596,-
1091,PAY.L,750.3M,26586,63029725.0943
1096,PCH.L,8.9M,1770,182775.810122
1099,PDG.L,395.6M,266189,38025821.439
1100,PDL.L,985.9M,272572,68853604.982
1106,PER.L,617.5M,54492,44682337.4253
1108,PFC.L,4.161B,889346,1269462765.36
1109,PFD.L,127.1M,1638553,208940892.052
1110,PFG.L,3.078B,192790,378851794.058
1111,PFL.L,746.0M,390849,137011949.041
1115,PFZ.L,192.0B,3094,24467029.0319
1119,PGIL.L,5.670B,450585,209821531.165
1126,PHNX.L,1.411B,263525,275547260.77
1128,PHRM.L,13.6M,263322,9219323.00107
1130,PHTM.L,512.5M,60487,51828086.1195
1132,PIC.L,1.071B,0,261669991.444
1141,PLAZ.L,35.7M,50174,2947280.04556
1145,PLUS.L,557.2M,217072,208756884.238
1149,PMO.L,1.714B,1146414,451214767.297
1153,PNN.L,2.882B,495934,506274923.67
1155,PNX.L,74.3M,201300,11186778.83
1156,POG.L,96.2M,733687,176201923.34
1159,POLY.L,2.236B,364907,561868690.149
1163,PPH.L,167.4M,5312,5490227.41731
1179,PRU.L,33.729B,2503660,4720332539.99
1180,PRV.L,137.8M,6529,13690533.7171
1181,PRW.L,65.0M,23744,2811459.87514
1184,PSN.L,3.833B,1166492,1468350637.29
1185,PSON.L,9.258B,1785180,2579340409.25
1188,PTD.L,12.0M,33017,1864564.79989
1189,PTEC.L,1.796B,318245,365915246.16
1195,PUB.L,64.9M,275740,9261572.17993
1199,PURI.L,22.9M,31849,2523685.93072
1200,PVCS.L,28.5M,33986,4011999.94082
