Ticker,MarketCap,AvgVol,Close,Turnover
CNBC,311.1M,45370,17.0361038961,772928.033766057
CNBKA,193.1M,4694,33.8530472103,158906.203605148
CNDO,78.4M,288159,3.4673819743,999157.322317906
CNET,18.1M,59566,0.9132467532,54398.4561039108
CNIT,120.7M,82717,4.8988744589,405220.19861435
CNMD,1.173B,234131,40.6185407725,9510059.5696062
CNOB,252.8M,8898,41.62527897,370381.73227506
CNQR,5.249B,832428,100.779090909,83891337.087197
CNSI,576.1M,242178,31.9464935065,7736737.90441716
CNSL,873.2M,216427,18.9809090909,4107981.21181621
CNTF,71.5M,156158,1.6116450217,251671.263290821
CNTY,141.9M,161320,5.7768831169,931926.784415082
CNYD,13.1M,9458,4.3366666667,41016.1933333649
COBK,52.2M,1302,12.8264069264,16699.9818181728
COBR,22.6M,7861,3.0286580087,23808.2806060763
COBZ,429.5M,77300,10.668008658,824637.0692634
COCO,28.0M,2383680,1.6474458875,3926983.81299682
COHR,1.620B,115455,64.4113852814,7436616.48766404
COHU,265.4M,65898,10.4293073593,687270.496363151
COKE,681.8M,30239,71.5503463203,2163610.92237955
COLB,1.381B,239950,25.9929437229,6237006.84630986
COLM,2.877B,86897,73.417167382,6379731.59399366
CONE,557.0M,331334,20.9047619048,6926458.380965
CONN,1.747B,1158550,54.5507359307,63199755.1125125
COOL,11.1M,30744,0.6006866953,18467.5117596576
CORE,1.062B,64808,73.8773593074,4787843.90199398
CORT,284.4M,666831,2.5968398268,1731653.29857154
COSI,20.4M,95178,1.663030303,158283.898181789
COST,50.715B,2030420,116.119220779,235770788.254097
COWN,488.6M,1043720,3.8990909091,4069559.16363541
CPAH,47.7M,24703,1.3160580913,32510.5830291369
CPGI,43.8M,14934,1.0485714286,15659.3657142644
CPHC,44.8M,2188,10.902034632,23853.651774816
CPHD,3.292B,612661,44.2596536797,27116163.6830587
CPIX,78.7M,26323,4.7232900433,124331.163809523
CPLA,677.5M,62942,60.2289177489,3790928.54095126
CPLP,976.5M,194162,9.9105627706,1924254.68865747
CPRT,4.433B,466027,34.5523809524,16102342.4381041
CPRX,161.5M,764670,2.0495238095,1567209.37142566
