,Ticker,MarketCap,AvgVol,Turnover
934,Y03.SI,1.247B,38015,70917.9773076
935,Y06.SI,45.4M,52896,3437.728125
936,Y07.SI,37.5M,3487210,201840.936967
937,Y08.SI,137.4M,67612,11898.7654514
938,Y34.SI,81.0M,277851,69237.1501868
939,Y35.SI,130.5M,190970,38490.2583333
940,Y45.SI,58.8M,47612,187320.208333
941,Y92.SI,15.568B,11641900,11798615.5
942,Z01.SI,80.2M,25508,26504.4439662
943,Z02.SI,14.4M,598493,11112.8645833
944,Z25.SI,2.153B,1021640,1170088.43646
945,Z59.SI,856.3M,5928280,4198292.15434
946,Z74.SI,61.822B,14285400,58365919.29
