Ticker,Country,Exchange,TurnoverMultiple
DRM.AX,Australia,AX,319.9392819721
DRX.AX,Australia,AX,2.3735948699
DSB.AX,Australia,AX,6.1907311493
DSN.AX,Australia,AX,0.9325150921
DTE.AX,Australia,AX,294.6439594472
DTL.AX,Australia,AX,186.3983065138
DTM.AX,Australia,AX,3.9240658284
DUE.AX,Australia,AX,0
DUI.AX,Australia,AX,135.3477022162
DUO.AX,Australia,AX,0
DVA.AX,Australia,AX,9.6766097589
DVN.AX,Australia,AX,124.2504877213
DWS.AX,Australia,AX,120.6268535231
DXS.AX,Australia,AX,18983.238008167
DYE.AX,Australia,AX,91.9817847871
DYL.AX,Australia,AX,19.2226042668
EAF.AX,Australia,AX,2.2569188424
EAL.AX,Australia,AX,52.1866600018
EAR.AX,Australia,AX,6.585340293
EAS.AX,Australia,AX,6.7131569704
EAX.AX,Australia,AX,139.1502991985
EBG.AX,Australia,AX,2.8614982985
EBT.AX,Australia,AX,105.2441687973
ECV.AX,Australia,AX,5.3717140738
EDE.AX,Australia,AX,8.4950782482
EEG.AX,Australia,AX,14.8630375427
EFE.AX,Australia,AX,0.7406317408
EGG.AX,Australia,AX,0
EGH.AX,Australia,AX,4.4507665457
EGL.AX,Australia,AX,0.7446733892
EGN.AX,Australia,AX,11.3549463081
EGO.AX,Australia,AX,71.3789796978
EGP.AX,Australia,AX,8693.6335702203
EHL.AX,Australia,AX,715.7843068986
ELD.AX,Australia,AX,100.2282983108
ELK.AX,Australia,AX,12.1471034721
ELM.AX,Australia,AX,93.9633076507
ELX.AX,Australia,AX,22.3266399081
EMA.AX,Australia,AX,7.3338857167
EMB.AX,Australia,AX,0.4701628411
EME.AX,Australia,AX,0.5424350495
EMG.AX,Australia,AX,1.1507117795
EML.AX,Australia,AX,174.7534292048
EMR.AX,Australia,AX,23.8315576896
EMU.AX,Australia,AX,0
EMX.AX,Australia,AX,6.2229605164
ENB.AX,Australia,AX,0.1403970206
ENE.AX,Australia,AX,129.9955069789
ENL.AX,Australia,AX,0.0017253368
ENR.AX,Australia,AX,4.8803256495
ENT.AX,Australia,AX,35.1458642865
ENU.AX,Australia,AX,0.3462785019
ENV.AX,Australia,AX,3798.1568839866
EOL.AX,Australia,AX,2.6070702119
EOS.AX,Australia,AX,6.7757161533
EPD.AX,Australia,AX,80.4415909819
EPW.AX,Australia,AX,985.8805056362
EQE.AX,Australia,AX,1.7140157137
EQH.AX,Australia,AX,0
EQT.AX,Australia,AX,327.5856262259
EQX.AX,Australia,AX,35.2017267466
ERA.AX,Australia,AX,587.2715889953
ERD.AX,Australia,AX,0.6026822907
ERI.AX,Australia,AX,6.0727174764
ERJ.AX,Australia,AX,1.6343433178
ERL.AX,Australia,AX,0.3351063976
ERM.AX,Australia,AX,15.7465847015
ESI.AX,Australia,AX,15.7478698363
ESK.AX,Australia,AX,1.0547488817
ESM.AX,Australia,AX,0.1295137848
ESN.AX,Australia,AX,0.3571293145
ESR.AX,Australia,AX,7.7227813185
ESV.AX,Australia,AX,109.0260715866
ETE.AX,Australia,AX,14.4742180631
EUM.AX,Australia,AX,0.5847256508
EVE.AX,Australia,AX,0.0633570769
EVM.AX,Australia,AX,9.7503111823
EVN.AX,Australia,AX,1561.186913351
EVR.AX,Australia,AX,204.1044611069
EVZ.AX,Australia,AX,2.8607284577
EWC.AX,Australia,AX,653.5169211978
EXC.AX,Australia,AX,0.4357294831
EXE.AX,Australia,AX,2.6089763333
EXG.AX,Australia,AX,11.6143071256
EXM.AX,Australia,AX,0.9288393029
EXR.AX,Australia,AX,1.382008706
EZA.AX,Australia,AX,0.4511580498
EZL.AX,Australia,AX,97.974018726
FAN.AX,Australia,AX,95.8576997698
FAR.AX,Australia,AX,329.2308873568
FAS.AX,Australia,AX,116.3976974147
FBU.AX,Australia,AX,6839.1162962095
FCN.AX,Australia,AX,0.4436397252
FCR.AX,Australia,AX,2.171844183
FDC.AX,Australia,AX,10771.3693249048
FEL.AX,Australia,AX,0.9261091245
FEO.AX,Australia,AX,1.6482976378
FFF.AX,Australia,AX,3.1674131644
FFI.AX,Australia,AX,7.3268573525
FGI.AX,Australia,AX,0.163357846
FIE.AX,Australia,AX,0.3453965919
FLK.AX,Australia,AX,42.9694572615
FLR.AX,Australia,AX,0.1065115161
FLT.AX,Australia,AX,0
FMG.AX,Australia,AX,0
FML.AX,Australia,AX,70.1852980447
FMS.AX,Australia,AX,147.2073705479
FND.AX,Australia,AX,21.9621533626
FNP.AX,Australia,AX,435.0403993799
FNT.AX,Australia,AX,3.0066422188
FOT.AX,Australia,AX,0.9845518564
FPH.AX,Australia,AX,184.9593951653
FPS.AX,Australia,AX,31.9088456954
FRC.AX,Australia,AX,0.4137386088
FRE.AX,Australia,AX,0.0742079376
FRI.AX,Australia,AX,0
FRM.AX,Australia,AX,1.3313757435
FRY.AX,Australia,AX,1.0589711103
FSA.AX,Australia,AX,102.6955594804
FSE.AX,Australia,AX,4.7881567943
FTE.AX,Australia,AX,0.6861973379
FUN.AX,Australia,AX,166.4503565228
FWD.AX,Australia,AX,671.9237911907
